,Target
164284,1
101611,0
67040,0
87543,0
238152,1
121872,0
21892,0
62770,0
158805,1
149798,1
110079,0
238770,1
15018,0
71635,0
118100,0
158931,1
4913,0
233525,1
151806,1
94284,0
30106,0
74983,0
139244,1
200872,1
32998,0
72275,0
71263,0
66678,0
208853,1
187666,1
134971,1
181801,1
88449,0
175228,1
66670,0
106792,0
108669,0
130517,1
242050,1
103251,0
165759,1
221224,1
187871,1
50280,0
233870,1
162685,1
180393,1
181409,1
190558,1
252460,1
222017,1
76073,0
221494,1
145149,1
184855,1
180674,1
11361,0
43929,0
250827,1
169887,1
124825,0
146708,1
148046,1
26511,0
177905,1
183786,1
96370,0
242702,1
216701,1
133544,1
233253,1
70849,0
88627,0
227933,1
31779,0
228485,1
138197,1
238058,1
56675,0
6419,0
102098,0
106329,0
67580,0
243093,1
220798,1
161126,1
116617,0
212210,1
230311,1
132473,1
81704,0
6655,0
12368,0
201474,1
48392,0
227779,1
231501,1
108159,0
183687,1
174352,1
168560,1
124958,0
239776,1
116089,0
28058,0
170909,1
230467,1
19683,0
163509,1
208376,1
85104,0
129339,1
7649,0
28353,0
241342,1
72969,0
107191,0
76760,0
72109,0
37193,0
67459,0
131008,1
69773,0
166359,1
143426,1
143193,1
160598,1
57004,0
157069,1
21779,0
162006,1
117659,0
152364,1
121129,0
52975,0
102332,0
131172,1
135799,1
11082,0
197271,1
137846,1
97997,0
11825,0
184375,1
133448,1
231118,1
170907,1
31577,0
28278,0
121828,0
63942,0
229718,1
234775,1
162654,1
83471,0
13853,0
64321,0
152132,1
135789,1
201756,1
170180,1
32406,0
74404,0
88805,0
98413,0
164282,1
7689,0
51472,0
65873,0
119299,0
76316,0
144186,1
20159,0
181173,1
15054,0
96174,0
223747,1
87356,0
94544,0
225244,1
83292,0
164575,1
435,0
132028,1
79943,0
164478,1
168738,1
19126,0
236077,1
68741,0
149888,1
25749,0
239904,1
122894,0
16406,0
164669,1
33945,0
184185,1
78890,0
219130,1
83943,0
112634,0
134132,1
162980,1
108889,0
12373,0
15974,0
186539,1
183762,1
13727,0
186632,1
17722,0
75698,0
38316,0
178815,1
253666,1
5109,0
208722,1
162441,1
68603,0
255532,1
17740,0
162398,1
33031,0
7824,0
16389,0
228239,1
87051,0
207038,1
9137,0
55389,0
173964,1
130610,1
77179,0
106049,0
154804,1
54470,0
106410,0
171460,1
144040,1
80470,0
237431,1
119182,0
227895,1
37262,0
156929,1
241429,1
106826,0
214342,1
233911,1
119161,0
191656,1
155122,1
187198,1
137511,1
158375,1
164588,1
253365,1
131115,1
65474,0
169994,1
135509,1
118453,0
89124,0
10236,0
70087,0
209443,1
93474,0
4659,0
161731,1
234572,1
214080,1
151676,1
54541,0
90185,0
46208,0
171136,1
196866,1
220238,1
83224,0
254097,1
57653,0
129316,1
85146,0
246444,1
163144,1
239339,1
178520,1
1840,0
218497,1
72415,0
148614,1
142667,1
158695,1
26203,0
175352,1
208208,1
147516,1
84170,0
239970,1
90412,0
10908,0
60923,0
130409,1
132927,1
181499,1
55718,0
233101,1
239092,1
239890,1
142087,1
87464,0
193545,1
177342,1
197198,1
145142,1
93324,0
169901,1
167368,1
53965,0
72293,0
166360,1
224954,1
207695,1
47455,0
136325,1
207198,1
150358,1
91894,0
24384,0
86186,0
234396,1
114489,0
151514,1
12241,0
125910,0
217257,1
195984,1
108456,0
195734,1
212933,1
177416,1
194922,1
207858,1
71375,0
13337,0
110365,0
101715,0
58568,0
47977,0
39017,0
99011,0
56425,0
161802,1
131836,1
196384,1
40849,0
115440,0
163892,1
154456,1
5668,0
36229,0
101213,0
129100,1
143138,1
222997,1
64294,0
252954,1
204168,1
56328,0
17518,0
154335,1
168508,1
17657,0
58230,0
104883,0
184793,1
224395,1
159372,1
142432,1
89558,0
164268,1
48590,0
25375,0
206634,1
225867,1
96255,0
7528,0
95024,0
141646,1
17383,0
44905,0
225267,1
135829,1
130593,1
133155,1
69898,0
239752,1
242569,1
156112,1
171115,1
224071,1
223986,1
98408,0
161360,1
328,0
31565,0
201915,1
2943,0
234768,1
171129,1
83273,0
212091,1
96006,0
95099,0
172260,1
53730,0
44974,0
644,0
66147,0
113571,0
78563,0
200340,1
93117,0
75875,0
52140,0
193904,1
168590,1
156906,1
87556,0
131330,1
110203,0
103314,0
146866,1
254039,1
129326,1
141265,1
123381,0
156535,1
3456,0
210128,1
21580,0
162208,1
66115,0
109320,0
144718,1
227213,1
34040,0
129176,1
200600,1
149477,1
72597,0
58995,0
24744,0
58837,0
212407,1
8483,0
88968,0
130445,1
101916,0
246646,1
217643,1
250903,1
57001,0
28690,0
236460,1
107871,0
49938,0
219124,1
10706,0
37696,0
188419,1
49896,0
238084,1
46881,0
66710,0
106061,0
24489,0
25428,0
72984,0
67304,0
147508,1
194819,1
4735,0
199486,1
72250,0
36806,0
15868,0
242436,1
101599,0
143966,1
222122,1
195579,1
118222,0
188208,1
74596,0
243981,1
142742,1
70435,0
237122,1
193318,1
31794,0
151427,1
187909,1
74234,0
105577,0
66443,0
118408,0
215268,1
70853,0
122366,0
89773,0
32466,0
33811,0
242238,1
236628,1
116340,0
2229,0
95174,0
138151,1
162492,1
147180,1
152285,1
16443,0
94065,0
81702,0
56796,0
238228,1
42878,0
239825,1
176446,1
120939,0
56898,0
53547,0
29691,0
37621,0
92459,0
239430,1
104573,0
58703,0
147348,1
153008,1
19600,0
11981,0
140109,1
205434,1
74304,0
141003,1
253579,1
243498,1
181662,1
233797,1
161710,1
148491,1
35972,0
212568,1
209633,1
88014,0
53366,0
44631,0
208116,1
130801,1
14130,0
240087,1
24514,0
111879,0
137982,1
27733,0
114453,0
26917,0
152250,1
154697,1
83335,0
212466,1
186847,1
51403,0
70434,0
232278,1
138214,1
91189,0
26667,0
29887,0
163295,1
78365,0
215902,1
38264,0
28988,0
118200,0
4983,0
64622,0
85503,0
194100,1
105374,0
9448,0
89357,0
207516,1
110932,0
90918,0
190044,1
38413,0
135999,1
51253,0
68255,0
9036,0
223679,1
205986,1
70191,0
123574,0
33083,0
18477,0
166806,1
34675,0
40167,0
174713,1
86192,0
37163,0
34592,0
52769,0
32035,0
39538,0
15289,0
74751,0
105380,0
80447,0
222964,1
53245,0
160349,1
214158,1
25472,0
179564,1
120908,0
103885,0
159178,1
15894,0
208321,1
91939,0
110020,0
69376,0
24914,0
244693,1
132108,1
92108,0
181337,1
252794,1
53925,0
166606,1
10330,0
240528,1
28111,0
212509,1
20904,0
175570,1
1467,0
238153,1
100864,0
135938,1
103049,0
140473,1
30663,0
247406,1
250503,1
95078,0
195751,1
142811,1
193477,1
161877,1
157866,1
200698,1
84303,0
26647,0
33309,0
187545,1
241620,1
168892,1
245300,1
242475,1
48316,0
146380,1
29124,0
50208,0
97734,0
122307,0
249279,1
180480,1
51011,0
230115,1
83106,0
147293,1
139008,1
162807,1
122135,0
169213,1
62335,0
194633,1
83185,0
119600,0
144101,1
212527,1
104488,0
224499,1
249393,1
79008,0
40947,0
182503,1
11395,0
2977,0
219046,1
231976,1
223571,1
216901,1
29156,0
101208,0
105845,0
44111,0
237719,1
76355,0
249462,1
212674,1
143211,1
3315,0
18744,0
222043,1
124767,0
85859,0
116404,0
175772,1
182946,1
158587,1
108531,0
57578,0
235547,1
210320,1
240812,1
240348,1
105398,0
68242,0
238079,1
225891,1
117544,0
37324,0
102423,0
81758,0
140665,1
24171,0
156980,1
215058,1
192462,1
62959,0
30992,0
170182,1
22174,0
249796,1
220552,1
31603,0
122070,0
230370,1
99665,0
29351,0
150545,1
215384,1
63499,0
144144,1
140002,1
